user_id,name,email
61,User61,
62,User62,invalid-email
63,User63,
64,User64,user64@example.com
65,User65,user65@example.com
66,User66,user66@example.com
67,User67,user67@example.com
68,User68,user68@example.com
69,User69,user69@example.com
70,User70,user70@example.com
71,User71,user71@example.com
72,User72,user72@example.com
73,User73,user73@example.com
74,User74,user74@example.com
75,User75,user75@example.com
76,User76,user76@example.com
77,User77,user77@example.com
78,User78,user78@example.com
79,User79,user79@example.com
80,User80,user80@example.com
