user_id,name,email
101,User101,
102,User102,invalid-email
103,User103,user103@example.com
104,User104,user104@example.com
105,User105,user105@example.com
106,User106,user106@example.com
107,User107,user107@example.com
108,User108,user108@example.com
109,User109,user109@example.com
110,User110,user110@example.com
111,User111,user111@example.com
112,User112,user112@example.com
113,User113,user113@example.com
114,User114,user114@example.com
115,User115,user115@example.com
116,User116,user116@example.com
117,User117,user117@example.com
118,User118,user118@example.com
119,User119,user119@example.com
120,User120,user120@example.com
