user_id,name,email
21,User21,
22,User22,invalid-email
23,User23,user23@example.com
24,User24,user24@example.com
25,User25,user25@example.com
26,User26,user26@example.com
27,User27,user27@example.com
28,User28,user28@example.com
29,User29,user29@example.com
30,User30,user30@example.com
31,User31,user31@example.com
32,User32,user32@example.com
33,User33,user33@example.com
34,User34,user34@example.com
35,User35,user35@example.com
36,User36,user36@example.com
37,User37,user37@example.com
38,User38,user38@example.com
39,User39,user39@example.com
40,User40,user40@example.com
